Movie,LeadStudio,Genre,RottenTomatoes,AudienceScore,WorldGross,Budget,Year,Ganancia,Exitosa
TMNT,Desconocido,Action,33.0,63.0,95.61,35.0,2007,60.61,False
P.S. I Love You,Independent,Romance,21.0,82.0,156.83,30.0,2007,126.83000000000001,False
3:10 to Yuma,Lionsgate,Adventure,88.0,85.0,70.02,48.0,2007,22.019999999999996,True
Sweeney Todd: The Demon Barber of Fleet Street,Warner Bros,Musical,86.0,81.0,152.52,50.0,2007,102.52000000000001,True
Music and Lyrics,Warner Bros,Romance,63.0,70.0,145.9,40.0,2007,105.9,True
Michael Clayton,Independent,Thriller,90.0,72.0,92.99,25.0,2007,67.99,True
Premonition,Sony,Drama,8.0,55.0,84.15,20.0,2007,64.15,False
The Kingdom,Desconocido,Action,52.0,78.0,86.66,80.0,2007,6.659999999999997,False
Shooter,Paramount,Action,47.0,82.0,95.7,61.0,2007,34.7,False
License to Wed,Warner Bros,Comedy,8.0,55.0,69.31,35.0,2007,34.31,False
No Reservations,Desconocido,Comedy,39.0,64.0,92.6,28.0,2007,64.6,False
Alien vs. Predator -- Requiem,Fox,Horror,14.0,37.0,128.88,40.0,2007,88.88,False
There Will Be Blood,Paramount,Drama,91.0,84.0,76.18,25.0,2007,51.18000000000001,True
Epic Movie,Independent,Comedy,2.0,38.0,86.87,20.0,2007,66.87,False
Hitman,Fox,Action,15.0,61.0,99.97,17.5,2007,82.47,False
30 Days of Night,Independent,Horror,50.0,57.0,75.5,32.0,2007,43.5,False
Stardust,Paramount,Adventure,76.0,86.0,135.56,70.0,2007,65.56,True
The Brave One,Desconocido,Action,43.0,65.0,69.79,70.0,2007,-0.20999999999999375,False
The Heartbreak Kid,Paramount,Comedy,30.0,41.0,127.77,60.0,2007,67.77,False
Smokin' Aces,Universal,Action,27.0,64.0,57.1,17.0,2007,40.1,False
Good Luck Chuck,Lionsgate,Comedy,3.0,61.0,59.19,25.0,2007,34.19,False
Zodiac,Paramount,Thriller,89.0,73.0,84.79,65.0,2007,19.790000000000006,True
Mr. Magorium's Wonder Emporium,Independent,Fantasy,36.0,56.0,69.47,25.0,2007,44.47,False
We Own the Night,Sony,Drama,55.0,63.0,54.93,21.0,2007,33.93,False
Mr. Brooks,MGM,Thriller,56.0,75.0,48.12,20.0,2007,28.119999999999997,False
The Nanny Diaries,Weinstein,Comedy,33.0,52.0,47.74,20.0,2007,27.740000000000002,False
Nancy Drew,Independent,Thriller,49.0,61.0,30.67,20.0,2007,10.670000000000002,False
The Mist,Weinstein,Horror,72.0,64.0,57.29,18.0,2007,39.29,True
The Reaping,Desconocido,Horror,9.0,53.0,62.77,40.0,2007,22.770000000000003,False
Grindhouse,Weinstein,Action,82.0,86.0,25.42,53.0,2007,-27.58,True
Sicko,Weinstein,Documentary,93.0,87.0,36.09,9.0,2007,27.090000000000003,True
Across the Universe,Independent,Romance,54.0,84.0,29.37,45.0,2007,-15.629999999999999,False
The Hills Have Eyes 2,Independent,Horror,11.0,50.0,37.47,15.0,2007,22.47,False
Vacancy,Sony,Comedy,55.0,46.0,35.3,19.0,2007,16.299999999999997,False
Waitress,Independent,Romance,89.0,67.0,22.18,2.0,2007,20.18,True
Into the Wild,Paramount,Drama,82.0,90.0,56.25,15.0,2007,41.25,True
Walk Hard: The Dewey Cox Story,Sony,Comedy,75.0,55.0,20.58,35.0,2007,-14.420000000000002,True
Next,Paramount,Thriller,29.0,59.0,76.07,70.0,2007,6.069999999999993,False
Hostel: Part II,Lionsgate,Horror,44.0,45.0,35.62,10.0,2007,25.619999999999997,False
The Kite Runner,Paramount,Drama,66.0,85.0,73.28,20.0,2007,53.28,True
Happily N'Ever After,Lionsgate,Animation,4.0,43.0,38.09,47.0,2007,-8.909999999999997,False
The Invasion,Warner Bros,Thriller,19.0,43.0,40.17,80.0,2007,-39.83,False
Lions for Lambs,Independent,Drama,27.0,48.0,63.22,35.0,2007,28.22,False
Daddy Day Camp,Sony,Comedy,1.0,63.0,18.2,6.0,2007,12.2,False
Shoot 'Em Up,Warner Bros,Action,67.0,66.0,26.82,39.0,2007,-12.18,True
The Darjeeling Limited,Fox,Drama,67.0,79.0,35.08,17.5,2007,17.58,True
In the Land of Women,Warner Bros,Comedy,43.0,72.0,17.56,10.0,2007,7.559999999999999,False
Dragon Wars (aka D-War),Mediaplex,Action,27.0,44.0,75.11,75.0,2007,0.10999999999999943,False
Pathfinder: Legend of the Ghost Warrior,Desconocido,Action,11.0,41.0,30.82,26.0,2007,4.82,False
The Dark Knight,Warner Bros,Thriller,94.0,96.0,1004.56,185.0,2008,819.56,True
Iron Man,Paramount,Action,94.0,91.0,585.52,186.0,2008,399.52,True
Indiana Jones and the Kingdom of the Crystal Skull,Paramount,Action,77.0,59.0,786.64,185.0,2008,601.64,True
Hancock,Sony,Action,40.0,67.0,624.39,150.0,2008,474.39,False
WALL-E,Disney,Animation,96.0,89.0,521.31,180.0,2008,341.30999999999995,True
Kung Fu Panda,Paramount,Animation,88.0,83.0,631.74,200.0,2008,431.74,True
Madagascar: Escape 2 Africa,Paramount,Animation,64.0,73.0,603.9,150.0,2008,453.9,True
Twilight,Summit,Romance,49.0,82.0,392.62,37.0,2008,355.62,False
Quantum of Solace,MGM,Action,64.0,62.0,586.09,230.0,2008,356.09000000000003,True
Dr. Seuss' Horton Hears a Who!,Fox,Animation,79.0,75.0,297.14,85.0,2008,212.14,True
Sex and the City,Warner Bros,Comedy,49.0,81.0,415.25,57.5,2008,357.75,False
Gran Torino,Warner Bros,Drama,80.0,90.0,269.96,33.0,2008,236.95999999999998,True
Mamma Mia!,Universal,Comedy,53.0,76.0,609.84,66.0,2008,543.84,False
The Chronicles of Narnia: Prince Caspian,Disney,Action,66.0,78.0,419.67,200.0,2008,219.67000000000002,True
Slumdog Millionaire,Independent,Crime,94.0,90.0,377.91,15.0,2008,362.91,True
The Incredible Hulk,Universal,Action,67.0,75.0,263.43,137.5,2008,125.93,True
Wanted,Universal,Action,73.0,72.0,341.43,75.0,2008,266.43,True
Get Smart,Warner Bros,Action,51.0,73.0,230.69,80.0,2008,150.69,False
Four Christmases,Warner Bros,Comedy,26.0,52.0,163.73,80.0,2008,83.72999999999999,False
Tropic Thunder,Paramount,Comedy,83.0,69.0,188.07,90.0,2008,98.07,True
Bedtime Stories,Disney,Comedy,25.0,63.0,212.87,80.0,2008,132.87,False
Bolt,Disney,Animation,89.0,76.0,309.98,150.0,2008,159.98000000000002,True
Marley and Me,Fox,Comedy,63.0,77.0,242.72,55.0,2008,187.72,True
The Mummy: Tomb of the Dragon Emperor,Universal,Action,14.0,40.0,401.13,145.0,2008,256.13,False
Journey to the Center of the Earth,Warner Bros,Action,61.0,55.0,241.99,45.0,2008,196.99,True
Eagle Eye,Paramount,Action,27.0,72.0,178.07,80.0,2008,98.07,False
Step Brothers,Sony,Comedy,54.0,68.0,128.11,65.0,2008,63.110000000000014,False
You Don't Mess with the Zohan,Sony,Comedy,36.0,50.0,199.94,80.0,2008,119.94,False
Yes Man,Warner Bros,Comedy,43.0,72.0,223.24,70.0,2008,153.24,False
"10,000 B.C.",Warner Bros,Adventure,9.0,44.0,269.78,105.0,2008,164.77999999999997,False
Beverly Hills Chihuahua,Disney,Adventure,41.0,56.0,149.28,20.0,2008,129.28,False
High School Musical 3: Senior Year,Disney,Comedy,65.0,76.0,252.91,11.0,2008,241.91,True
Pineapple Express,Sony,Action,68.0,74.0,101.62,26.0,2008,75.62,True
Valkyrie,MGM,Thriller,58.0,66.0,200.28,75.0,2008,125.28,False
21,Sony,Crime,35.0,73.0,157.93,35.0,2008,122.93,False
What Happens in Vegas,Fox,Comedy,28.0,72.0,219.38,35.0,2008,184.38,False
Jumper,Fox,Action,16.0,50.0,222.23,82.5,2008,139.73,False
Cloverfield,Paramount,Action,77.0,67.0,170.76,25.0,2008,145.76,True
The Curious Case of Benjamin Button,Warner Bros,Fantasy,73.0,81.0,333.93,160.0,2008,173.93,True
27 Dresses,Fox,Comedy,40.0,71.0,160.26,30.0,2008,130.26,False
Hellboy II: The Golden Army,Universal,Action,87.0,70.0,160.39,82.5,2008,77.88999999999999,True
The Day the Earth Stood Still,Fox,Thriller,19.0,34.0,233.09,100.0,2008,133.09,False
Vantage Point,Sony,Desconocido,35.0,61.0,151.16,40.0,2008,111.16,False
The Spiderwick Chronicles,Paramount,Fantasy,79.0,67.0,162.84,92.5,2008,70.34,True
Fool's Gold,Warner Bros,Adventure,11.0,53.0,111.23,72.5,2008,38.730000000000004,False
Role Models,Universal,Comedy,77.0,75.0,92.38,28.0,2008,64.38,True
The Happening,Fox,Thriller,19.0,29.0,163.4,48.0,2008,115.4,False
Forgetting Sarah Marshall,Independent,Comedy,85.0,75.0,105.17,30.0,2008,75.17,True
Burn After Reading,Relativity Media,Comedy,78.0,64.0,163.72,37.0,2008,126.72,True
Baby Mama,Independent,Comedy,63.0,59.0,64.16,70.0,2008,-5.840000000000003,True
Seven Pounds,Sony,Drama,27.0,77.0,168.17,55.0,2008,113.16999999999999,False
Step Up 2: The Streets,Disney,Drama,26.0,81.0,150.82,17.5,2008,133.32,False
Saw V,Independent,Crime,13.0,63.0,113.86,10.8,2008,103.06,False
The Strangers,Relativity Media,Horror,44.0,48.0,82.39,9.0,2008,73.39,False
The Forbidden Kingdom,Relativity Media,Action,64.0,65.0,127.98,55.0,2008,72.98,True
The Tale of Despereaux,Universal,Animation,54.0,46.0,86.95,55.0,2008,31.950000000000003,False
The House Bunny,Sony,Comedy,39.0,54.0,70.44,25.0,2008,45.44,False
Nim's Island,Independent,Adventure,51.0,50.0,100.08,37.0,2008,63.08,False
Australia,Fox,Adventure,55.0,69.0,211.34,78.0,2008,133.34,False
Made of Honor,Sony,Comedy,13.0,61.0,105.96,40.0,2008,65.96,False
College Road Trip,Buena Vista,Adventure,13.0,56.0,51.55,140.0,2008,-88.45,False
The Sisterhood of the Traveling Pants 2,Warner Bros,Desconocido,65.0,67.0,44.35,27.0,2008,17.35,True
Speed Racer,Warner Bros,Action,38.0,61.0,93.95,120.0,2008,-26.049999999999997,False
Prom Night,Independent,Horror,8.0,46.0,57.2,18.0,2008,39.2,False
Rambo,Lionsgate,Action,36.0,70.0,113.24,47.5,2008,65.74,False
"Welcome Home, Roscoe Jenkins",Universal,Comedy,24.0,64.0,43.65,35.0,2008,8.649999999999999,False
Tyler Perry's Meet the Browns,Independent,Drama,31.0,36.0,41.98,20.0,2008,21.979999999999997,False
Nights in Rodanthe,Warner Bros,Drama,31.0,56.0,84.37,30.0,2008,54.370000000000005,False
Max Payne,Fox,Action,16.0,36.0,85.42,35.0,2008,50.42,False
Righteous Kill,Overture,Crime,19.0,44.0,78.46,60.0,2008,18.459999999999994,False
Lakeview Terrace,Sony,Crime,46.0,44.0,44.65,20.0,2008,24.65,False
Body of Lies,Warner Bros,Action,53.0,65.0,115.1,67.5,2008,47.599999999999994,False
Meet the Spartans,Independent,Comedy,2.0,31.0,84.65,30.0,2008,54.650000000000006,False
Harold and Kumar Escape from Guantanamo Bay,Warner Bros,Adventure,54.0,65.0,43.49,12.0,2008,31.490000000000002,False
First Sunday,Sony,Comedy,13.0,59.0,38.8,13.0,2008,25.799999999999997,False
The Secret Life of Bees,Fox,Drama,56.0,78.0,39.95,11.0,2008,28.950000000000003,False
Tyler Perry's The Family That Preys,Independent,Drama,51.0,36.0,37.11,10.0,2008,27.11,False
Death Race,Universal,Action,42.0,69.0,75.68,45.0,2008,30.680000000000007,False
Changeling,Independent,Drama,62.0,84.0,113.02,55.0,2008,58.019999999999996,True
Star Wars: The Clone Wars,Independent,Animation,19.0,46.0,68.28,8.5,2008,59.78,False
Semi-Pro,Warner Bros,Comedy,21.0,41.0,43.88,2.6,2008,41.28,False
Fireproof,Independent,Drama,40.0,51.0,33.47,0.5,2008,32.97,False
Drillbit Taylor,Paramount,Comedy,26.0,49.0,49.69,40.0,2008,9.689999999999998,False
The Love Guru,Paramount,Comedy,14.0,38.0,40.86,62.0,2008,-21.14,False
"Definitely, Maybe",Universal,Comedy,71.0,72.0,55.45,7.0,2008,48.45,True
Milk,Universal,Biography,94.0,88.0,54.59,20.0,2008,34.59,True
Transporter 3,Independent,Action,36.0,58.0,108.98,30.0,2008,78.98,False
Quarantine,Sony,Horror,59.0,46.0,41.32,12.0,2008,29.32,False
Nick and Norah's Infinite Playlist,Sony,Comedy,73.0,67.0,33.51,10.0,2008,23.509999999999998,True
The Eye,Lionsgate,Horror,22.0,51.0,56.96,12.0,2008,44.96,False
Zack and Miri Make a Porno,Weinstein,Romance,64.0,70.0,42.1,24.0,2008,18.1,True
Leatherheads,Universal,Comedy,52.0,41.0,41.3,58.0,2008,-16.700000000000003,False
Mirrors,Independent,Horror,14.0,49.0,77.49,35.0,2008,42.489999999999995,False
Space Chimps,Independent,Animation,36.0,37.0,64.83,37.0,2008,27.83,False
The Bank Job,Independent,Thriller,78.0,74.0,64.82,20.0,2008,44.81999999999999,True
Untraceable,Independent,Thriller,14.0,56.0,52.66,35.0,2008,17.659999999999997,False
The Women,Warner Bros,Drama,13.0,41.0,50.01,16.0,2008,34.01,False
One Missed Call,Warner Bros,Horror,0.0,36.0,45.85,20.0,2008,25.85,False
The Other Boleyn Girl,Independent,Drama,41.0,65.0,77.71,40.0,2008,37.709999999999994,False
Street Kings,Fox,Action,37.0,62.0,65.57,20.0,2008,45.56999999999999,False
Shutter,Fox,Horror,7.0,40.0,47.88,8.0,2008,39.88,False
Superhero Movie,Weinstein,Comedy,15.0,36.0,71.24,65.0,2008,6.239999999999995,False
W.,Lionsgate,Drama,60.0,42.0,29.51,25.1,2008,4.41,True
Never Back Down,Summit,Action,23.0,37.0,41.63,21.0,2008,20.630000000000003,False
Traitor,Liberty Starz,Thriller,55.0,66.0,27.66,22.0,2008,5.66,False
Vicky Cristina Barcelona,Weinstein,Romance,82.0,73.0,96.41,16.0,2008,80.41,True
Babylon A.D.,Fox,Action,7.0,32.0,72.11,45.0,2008,27.11,False
The X-Files: I Want to Believe,Fox,Thriller,32.0,34.0,68.37,35.0,2008,33.370000000000005,False
Mad Money,Independent,Comedy,22.0,51.0,26.41,22.0,2008,4.41,False
Appaloosa,Warner Bros,Action,77.0,55.0,27.67,20.0,2008,7.670000000000002,True
Igor,Independent,Animation,36.0,42.0,30.75,30.0,2008,0.75,False
My Best Friend's Girl,Lionsgate,Comedy,14.0,51.0,41.62,20.0,2008,21.619999999999997,False
Doubt,Independent,Drama,78.0,75.0,50.91,25.0,2008,25.909999999999997,True
The Spirit,Lionsgate,Action,14.0,29.0,39.03,6.0,2008,33.03,False
Kit Kittredge: An American Girl,Warner Bros,Drama,78.0,26.0,17.66,10.0,2008,7.66,True
The Ruins,Paramount,Horror,46.0,32.0,22.73,25.0,2008,-2.2699999999999996,False
88 Minutes,Sony,Drama,5.0,51.0,32.59,30.0,2008,2.5900000000000034,False
Swing Vote,Disney,Comedy,36.0,44.0,17.63,20.0,2008,-2.370000000000001,False
Pride & Glory,Warner Bros,Crime,34.0,54.0,31.15,30.0,2008,1.1499999999999986,False
Bangkok Dangerous,Lionsgate,Action,9.0,33.0,42.49,45.0,2008,-2.509999999999998,False
Disaster Movie,Lionsgate,Comedy,2.0,28.0,34.82,20.0,2008,14.82,False
The Duchess,Paramount,Drama,60.0,68.0,43.31,13.5,2008,29.810000000000002,True
The Haunting of Molly Hartley,Independent,Horror,3.0,22.0,15.42,5.0,2008,10.42,False
Ghost Town,Paramount,Comedy,85.0,60.0,27.07,20.0,2008,7.07,True
Religulous,Lionsgate,Documentary,70.0,78.0,13.64,2.5,2008,11.14,True
Rachel Getting Married,Independent,Drama,85.0,61.0,16.62,12.0,2008,4.620000000000001,True
The Pirates Who Don't Do Anything,Universal,Desconocido,41.0,61.0,13.15,15.0,2008,-1.8499999999999996,False
Under the Same Moon,Weinstein,Desconocido,72.0,37.0,23.31,1.7,2008,21.61,True
Miss Pettigrew Lives for a Day,Independent,Comedy,78.0,70.0,16.72,60.0,2008,-43.28,True
Soul Men,Weinstein,Comedy,45.0,42.0,12.33,0.0,2008,12.33,False
Meet Dave,Fox,Adventure,19.0,42.0,50.65,60.0,2008,-9.350000000000001,False
The Longshots,Independent,Comedy,39.0,39.0,11.77,30.0,2008,-18.23,False
"Be Kind, Rewind",New Line,Comedy,65.0,57.0,30.58,20.0,2008,10.579999999999998,True
Doomsday,Relativity Media,Action,48.0,47.0,22.21,33.0,2008,-10.79,False
Stop-Loss,Paramount,Drama,65.0,27.0,11.21,25.0,2008,-13.79,True
Penelope,Summit,Comedy,52.0,74.0,21.16,15.0,2008,6.16,False
The Express,Independent,Biography,62.0,73.0,9.81,37.5,2008,-27.689999999999998,True
Smart People,Independent,Comedy,50.0,41.0,11.84,7.0,2008,4.84,False
The Visitor,Independent,Drama,92.0,83.0,18.08,4.0,2008,14.079999999999998,True
The Boy in the Striped Pyjamas,Independent,Drama,63.0,84.0,40.42,12.5,2008,27.92,True
Sex Drive,Summit,Adventure,46.0,61.0,18.76,19.0,2008,-0.23999999999999844,False
Cadillac Records,Sony,Biography,67.0,64.0,8.88,12.0,2008,-3.119999999999999,True
Punisher: War Zone,Lionsgate,Action,27.0,47.0,10.1,35.0,2008,-24.9,False
Miracle at St. Anna,Disney,Action,34.0,68.0,9.32,45.0,2008,-35.68,False
City of Ember,Independent,Adventure,52.0,48.0,17.93,38.0,2008,-20.07,False
In Bruges,Focus,Crime,81.0,85.0,33.39,15.0,2008,18.39,True
Expelled: No Intelligence Allowed,Desconocido,Documentary,10.0,42.0,7.72,3.5,2008,4.22,False
Over Her Dead Body,New Line,Comedy,15.0,47.0,21.46,10.0,2008,11.46,False
Avatar,Fox,Action,83.0,92.0,2781.5,237.0,2009,2544.5,True
Transformers: Revenge of the Fallen,Paramount,Action,20.0,76.0,836.3,210.0,2009,626.3,False
Harry Potter and the Half-Blood Prince,Warner Bros,Adventure,83.0,75.0,934.0,250.0,2009,684.0,True
The Twilight Saga: New Moon,Summit,Drama,27.0,78.0,709.82,50.0,2009,659.82,False
Up,Disney,Animation,98.0,86.0,731.3,175.0,2009,556.3,True
The Hangover,Warner Bros,Comedy,79.0,87.0,467.46,35.0,2009,432.46,True
Star Trek,Paramount,Action,94.0,91.0,385.65,140.0,2009,245.64999999999998,True
The Blind Side,Warner Bros,Biography,65.0,90.0,309.2,29.0,2009,280.2,True
Alvin and the Chipmunks: The Squeakquel,Independent,Animation,21.0,59.0,440.7,75.0,2009,365.7,False
Sherlock Holmes,Warner Bros,Action,70.0,81.0,524.02,90.0,2009,434.02,True
Monsters Vs. Aliens,Paramount,Animation,72.0,65.0,381.5,175.0,2009,206.5,True
Ice Age: Dawn of the Dinosaurs,Fox,Animation,45.0,72.0,886.68,90.0,2009,796.68,False
X-Men Origins: Wolverine,Fox,Action,37.0,72.0,373.1,150.0,2009,223.10000000000002,False
Night at the Museum: Battle of the Smithsonian,Fox,Action,43.0,60.0,413.0,150.0,2009,263.0,False
2012,Sony,Action,39.0,63.0,769.69,200.0,2009,569.69,False
The Proposal,Disney,Comedy,43.0,74.0,314.7,40.0,2009,274.7,False
Fast and Furious,Universal,Action,28.0,76.0,363.1,85.0,2009,278.1,False
G.I. Joe: The Rise of Cobra,Paramount,Action,33.0,62.0,302.1,175.0,2009,127.10000000000002,False
Paul Blart: Mall Cop,Sony,Action,33.0,50.0,183.28,26.0,2009,157.28,False
Taken,Fox,Action,58.0,83.0,226.8,25.0,2009,201.8,False
A Christmas Carol,Disney,Animation,52.0,72.0,325.33,200.0,2009,125.32999999999998,False
Angels & Demons,Sony,Mystery,36.0,65.0,485.9,150.0,2009,335.9,False
Terminator Salvation,Warner Bros,Action,33.0,64.0,372.0,200.0,2009,172.0,False
Cloudy with a Chance of Meatballs,Sony,Animation,86.0,70.0,243.03,100.0,2009,143.03,True
Inglourious Basterds,Universal,Adventure,88.0,87.0,321.41,70.0,2009,251.41000000000003,True
G-Force,Disney,Action,22.0,50.0,285.1,150.0,2009,135.10000000000002,False
District 9,Independent,Action,91.0,81.0,210.77,30.0,2009,180.77,True
It's Complicated,Universal,Comedy,56.0,63.0,219.1,85.0,2009,134.1,False
Couples Retreat,Universal,Comedy,12.0,47.0,171.83,60.0,2009,111.83000000000001,False
Watchmen,Warner Bros,Action,64.0,68.0,185.3,130.0,2009,55.30000000000001,True
The Princess and the Frog,Disney,Animation,84.0,72.0,267.04,105.0,2009,162.04000000000002,True
Public Enemies,Universal,Biography,67.0,65.0,214.1,100.0,2009,114.1,True
Julie & Julia,Sony,Biography,74.0,69.0,126.57,40.0,2009,86.57,True
He's Just Not That Into You,Warner Bros,Comedy,42.0,60.0,178.84,25.0,2009,153.84,False
The Ugly Truth,Independent,Comedy,14.0,68.0,205.28,38.0,2009,167.28,False
Up in the Air,Paramount,Drama,90.0,76.0,200.2,25.0,2009,175.2,True
Knowing,Summit,Drama,33.0,50.0,183.58,50.0,2009,133.58,False
Hannah Montana: The Movie,Disney,Comedy,44.0,66.0,155.55,35.0,2009,120.55000000000001,False
Where the Wild Things Are,Warner Bros,Adventure,73.0,59.0,100.08,100.0,2009,0.0799999999999983,True
Zombieland,Sony,Action,90.0,87.0,102.39,23.6,2009,78.78999999999999,True
Coraline,Universal,Animation,89.0,77.0,124.58,60.0,2009,64.58,True
Law Abiding Citizen,Independent,Crime,25.0,77.0,126.48,53.0,2009,73.48,False
Hotel for Dogs,Paramount,Comedy,46.0,57.0,118.2,35.0,2009,83.2,False
Michael Jackson's This Is It,Sony,Documentary,81.0,82.0,261.19,60.0,2009,201.19,True
"I Love You, Man",Paramount,Comedy,83.0,72.0,91.4,40.0,2009,51.400000000000006,True
Obsessed,Sony,Drama,20.0,50.0,73.82,20.0,2009,53.81999999999999,False
Race to Witch Mountain,Buena Vista,Action,42.0,50.0,106.38,50.0,2009,56.379999999999995,False
The Final Destination,Warner Bros,Horror,29.0,52.0,186.19,40.0,2009,146.19,False
The Taking of Pelham 1 2 3,Sony,Action,51.0,60.0,150.16,100.0,2009,50.16,False
Friday the 13th,Paramount,Horror,25.0,52.0,91.4,19.0,2009,72.4,False
17 Again,Independent,Comedy,55.0,70.0,136.3,20.0,2009,116.30000000000001,False
The Time Traveler's Wife,Paramount,Drama,38.0,65.0,101.33,39.0,2009,62.33,False
Bruno,Universal,Comedy,68.0,48.0,130.8,42.0,2009,88.80000000000001,True
Bride Wars,Fox,Comedy,11.0,56.0,115.15,30.0,2009,85.15,False
The Haunting in Connecticut,Lionsgate,Drama,17.0,51.0,77.52,30.0,2009,47.519999999999996,False
Ghosts of Girlfriends Past,Warner Bros,Comedy,27.0,47.0,102.22,50.0,2009,52.22,False
Funny People,Universal,Comedy,68.0,58.0,71.58,75.0,2009,-3.4200000000000017,True
My Bloody Valentine 3-D,Lionsgate,Crime,57.0,48.0,100.73,14.0,2009,86.73,False
Old Dogs,Buena Vista,Comedy,5.0,49.0,96.75,35.0,2009,61.75,False
Land of the Lost,Universal,Drama,26.0,38.0,68.77,100.0,2009,-31.230000000000004,False
My Sister's Keeper,Warner Bros,Drama,47.0,73.0,95.71,27.5,2009,68.21,False
Underworld: Rise of the Lycans,Sony,Action,30.0,68.0,91.35,35.0,2009,56.349999999999994,False
Confessions of a Shopaholic,Disney,Comedy,24.0,53.0,108.3,70.0,2009,38.3,False
The Lovely Bones,Paramount,Drama,32.0,57.0,93.51,65.0,2009,28.510000000000005,False
Year One,Sony,Adventure,14.0,31.0,62.35,60.0,2009,2.3500000000000014,False
The Unborn,Relativity Media,Horror,11.0,39.0,76.51,16.0,2009,60.510000000000005,False
Planet 51,Independent,Animation,22.0,45.0,105.64,70.0,2009,35.64,False
Drag Me to Hell,Universal,Horror,92.0,61.0,90.8,30.0,2009,60.8,True
Orphan,Warner Bros,Horror,55.0,65.0,76.69,30.0,2009,46.69,False
Duplicity,Universal,Romance,64.0,38.0,78.14,60.0,2009,18.14,True
